Gene,baseMean,log2FoldChange,lfcSE,pvalue,padj,symbol,entrez
ENSG00000006042,41.93765421,-13.47367635,1.420905452,1.99e-84,1.13e-81,TMEM98,26022
ENSG00000006210,28.48800659,-11.51964897,0.922678058,5.66e-85,3.47e-82,CX3CL1,6376
ENSG00000013016,13.1376125,-10.05267494,0.794154557,2.31e-82,1.1e-79,EHD3,30845
ENSG00000019582,849.0626984,-11.92512478,0.660303305,2.26e-84,1.24e-81,CD74,972
ENSG00000021826,4815.918893,9.251588383,0.414257479,4.67e-115,9.92e-112,CPS1,1373
ENSG00000026297,66.07447783,-4.758015031,0.249218843,8.03e-82,3.71e-79,RNASET2,8635
ENSG00000043462,21.88140238,-15.28204354,3.53237921,8.63e-80,3.67e-77,LCP2,3937
ENSG00000054983,30.44398429,-11.76806184,0.897479285,3.44e-102,4.76e-99,GALC,2581
ENSG00000069122,26.86320943,-11.22818882,0.856452965,2.38e-74,8.16e-72,ADGRF5,221395
ENSG00000071242,40.18051452,-11.51202562,0.744819017,1.7e-110,3.2e-107,RPS6KA2,6196
ENSG00000077943,78.90214167,-14.39139076,1.449445427,2.11e-85,1.35e-82,ITGA8,8516
ENSG00000081189,46.84639306,-10.93873504,0.742308841,3.34e-79,1.38e-76,MEF2C,4208
ENSG00000082397,26.6378058,-15.66246629,3.54656235,4.18e-118,1.11e-114,EPB41L3,23136
ENSG00000087245,367.5806245,-19.72180597,3.998005701,2.5e-89,1.85e-86,MMP2,4313
ENSG00000088882,37.65657574,-10.95159317,0.733478153,3e-77,1.17e-74,CPXM1,56265
ENSG00000089356,73.57810766,-9.50007827,0.55629756,6.22e-74,2.04e-71,FXYD3,5349
ENSG00000090376,60.74336832,-11.39199705,0.708004875,9.91e-83,5.02e-80,IRAK3,11213
ENSG00000100979,59.15844098,-7.487991173,0.344568226,1.08e-102,1.64e-99,PLTP,5360
ENSG00000101493,138.7236877,-14.57016306,1.101771115,8.48e-118,2.08e-114,ZNF516,9658
ENSG00000102409,43.72721866,-13.5491745,1.402558854,4.37e-98,5.36e-95,BEX4,56271
ENSG00000102575,22.53193153,-9.027581196,0.520880985,4.73e-80,2.04e-77,ACP5,54
ENSG00000104332,465.6033198,-15.70539434,0.995266925,3.38e-125,1.54e-121,SFRP1,6422
ENSG00000106123,40.25546952,-16.29551256,3.63966793,1.61e-79,6.77e-77,EPHB6,2051
ENSG00000106624,363.5878224,-12.21553774,0.672230156,1.8e-90,1.4e-87,AEBP1,165
ENSG00000107317,195.6563247,-9.880856375,0.518305363,1.05e-87,7.27e-85,PTGDS,5730
ENSG00000110799,126.2564817,-11.52957908,0.669741301,5.28e-76,1.96e-73,VWF,7450
ENSG00000111913,36.78786951,-10.62391351,0.664831154,3.23e-84,1.74e-81,RIPOR2,9750
ENSG00000113140,633.6369185,-11.21580565,0.48096946,1.54e-121,5.44e-118,SPARC,6678
ENSG00000113407,1143.23438,2.829281516,0.150141259,7.91e-81,3.5e-78,TARS,6897
ENSG00000115594,267.5508259,-6.921065916,0.381568697,2.59e-73,8.44e-71,IL1R1,3554
ENSG00000115648,62.6423999,-12.72051228,0.880576739,1.91e-142,6.09e-138,MLPH,79083
ENSG00000116132,172.45709,-14.61304529,1.086647748,4.2e-134,6.69e-130,PRRX1,5396
ENSG00000120594,113.5887635,-17.91111251,3.797355589,2.75e-101,3.66e-98,PLXDC2,84898
ENSG00000122176,119.3190542,-15.2115177,1.465050874,1.57e-91,1.32e-88,FMOD,2331
ENSG00000122679,15.8200273,-14.75291651,3.468309957,4.42e-76,1.66e-73,RAMP3,10268
ENSG00000124749,46.72491737,-16.5077977,3.670978931,3.04e-73,9.8e-71,COL21A1,81578
ENSG00000125810,70.29712197,-17.16692375,3.717689715,3.82e-103,6.1e-100,CD93,22918
ENSG00000126947,25.64251584,-15.59943393,3.58936201,3.87e-74,1.31e-71,ARMCX1,51309
ENSG00000128602,24.69749197,-15.54846929,3.565782525,2.42e-85,1.51e-82,SMO,6608
ENSG00000129675,36.34883398,-11.17299438,0.868421588,1.74e-74,6.16e-72,ARHGEF6,9459
ENSG00000130203,55.20885142,-9.041636513,0.422328632,7.39e-113,1.47e-109,APOE,348
ENSG00000131435,15.45743562,-11.17599439,1.044812743,1.3e-82,6.44e-80,PDLIM4,8572
ENSG00000131620,31.52946354,-10.27951538,0.721963323,2.24e-76,8.61e-74,ANO1,55107
ENSG00000132274,75.05409188,-9.420870695,0.468773297,1.07e-92,9.72e-90,TRIM22,10346
ENSG00000132386,208.2000316,-7.412079638,0.378984976,6.03e-85,3.63e-82,SERPINF1,5176
ENSG00000133561,32.97836752,-15.97916689,3.608993061,5.64e-74,1.87e-71,GIMAP6,474344
ENSG00000134853,169.1685407,-14.24981888,0.964534735,2.8e-115,6.39e-112,PDGFRA,5156
ENSG00000135929,14.11259618,-6.188475472,0.325705066,2.19e-83,1.14e-80,CYP27A1,1593
ENSG00000136059,14.52587093,-8.813780836,0.57828812,1.09e-74,3.9e-72,VILL,50853
ENSG00000137491,30.4288342,-15.79782903,3.571138327,2.02e-98,2.58e-95,SLCO2B1,11309
ENSG00000138449,227.7625431,-15.91057369,1.487717335,3.72e-93,3.7e-90,SLC40A1,30061
ENSG00000138964,13.71471754,-10.08717699,0.783153339,1.82e-87,1.23e-84,PARVG,64098
ENSG00000142173,381.0966111,-14.19927797,0.988375061,1.33e-82,6.44e-80,COL6A2,1292
ENSG00000142347,24.78814189,-5.979742438,0.306758646,5.53e-90,4.2e-87,MYO1F,4542
ENSG00000145020,20.5579651,-4.912210985,0.24900984,4.7e-87,3.12e-84,AMT,275
ENSG00000149090,111.1378655,-11.57039927,0.609535078,1.84e-102,2.67e-99,PAMR1,25891
ENSG00000151702,31.58158858,-11.78481915,0.912618469,7.77e-95,8.26e-92,FLI1,2313
ENSG00000154783,30.1903823,-9.463129767,0.548165027,3.16e-82,1.48e-79,FGD5,152273
